City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Jiamusi,CN,46.8333,130.35,31.42,52,0,6.53,clear sky
157,Ancud,CL,-41.8697,-73.8203,48.42,92,100,25.64,moderate rain
158,Rapid Valley,US,44.0625,-103.1463,75.63,38,0,13.0,clear sky
159,Bembereke,BJ,10.2283,2.6634,73.62,88,98,2.59,light rain
160,Kavieng,PG,-2.5744,150.7967,81.93,77,100,13.22,light rain
161,Necochea,AR,-38.5473,-58.7368,60.48,66,100,5.7,moderate rain
162,Brandon,US,27.9378,-82.2859,85.91,63,40,6.91,scattered clouds
163,Nikolskoye,RU,59.7035,30.7861,46.8,96,90,5.61,overcast clouds
164,Axim,GH,4.8699,-2.2405,76.62,89,5,6.51,clear sky
165,Ahipara,NZ,-35.1667,173.1667,53.11,67,99,19.24,overcast clouds
166,Pisco,PE,-13.7,-76.2167,66.25,63,0,8.05,clear sky
167,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,9.22,broken clouds
168,Piracanjuba,BR,-17.3028,-49.0167,85.05,42,94,2.42,overcast clouds
169,Sioux Lookout,CA,50.1001,-91.917,50.07,100,100,6.91,light intensity shower rain
170,Barahona,DO,18.2085,-71.1008,91.22,70,40,14.97,scattered clouds
171,Nanortalik,GL,60.1432,-45.2371,37.9,87,51,13.71,broken clouds
172,Anchorage,US,61.2181,-149.9003,57.87,81,100,8.05,light rain
173,Bilma,NE,18.6853,12.9164,92.05,16,9,8.14,clear sky
174,Yelets,RU,52.6237,38.5017,45.81,88,95,8.61,overcast clouds
175,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,53,10.0,broken clouds
176,Nizhniy Kuranakh,RU,58.8353,125.4869,27.55,96,100,9.75,snow
177,Jiaocheng,CN,24.6774,116.1389,75.29,83,78,1.1,broken clouds
178,Suba,PH,10.8438,121.0102,83.66,77,100,11.16,overcast clouds
179,Alta Floresta,BR,-9.8756,-56.0861,96.62,41,40,5.75,scattered clouds
180,Half Moon Bay,US,37.4636,-122.4286,82.81,74,100,6.91,overcast clouds
181,Port Lincoln,AU,-34.7333,135.8667,54.03,91,3,7.94,clear sky
182,Luderitz,NA,-26.6481,15.1594,56.48,77,19,18.19,few clouds
183,Tual,ID,-5.6667,132.75,82.8,75,100,7.56,overcast clouds
184,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,16.11,few clouds
185,Calatagan,PH,13.8833,120.65,79.05,87,99,11.25,overcast clouds
186,Rognan,NO,67.0953,15.3878,50.14,91,100,7.72,overcast clouds
187,Manzanillo,CU,20.3433,-77.1167,87.1,64,49,5.44,scattered clouds
188,Kota Kinabalu,MY,5.9749,116.0724,76.98,88,20,3.44,few clouds
189,Hameenlinna,FI,60.996,24.4643,53.15,98,100,8.66,overcast clouds
190,Kyra,RU,49.5776,111.9753,22.5,75,32,3.27,scattered clouds
191,Lebu,CL,-37.6167,-73.65,54.59,69,100,9.84,overcast clouds
192,Sobolevo,RU,54.4299,31.8996,45.23,97,100,9.22,overcast clouds
193,Bima,ID,-8.4667,118.7167,76.6,93,94,4.25,overcast clouds
194,Lahad Datu,MY,5.0268,118.327,74.77,94,29,2.91,scattered clouds
195,Bluffton,US,32.2371,-80.8604,78.87,46,0,5.01,clear sky
196,Bentiu,SS,9.2333,29.8333,70.9,97,100,6.4,moderate rain
197,Gualaceo,EC,-2.9,-78.7833,76.66,65,82,5.14,light rain
198,Avera,US,33.194,-82.5271,79.56,20,0,5.32,clear sky
199,Charters Towers,AU,-20.1,146.2667,65.08,89,2,7.45,clear sky
200,Winnemucca,US,40.973,-117.7357,75.25,19,0,6.91,clear sky
201,Nouadhibou,MR,20.931,-17.0347,87.78,40,28,6.91,sand
202,Mar Del Plata,AR,-38.0023,-57.5575,60.82,88,100,10.36,overcast clouds
203,Severo-Kurilsk,RU,50.6789,156.125,42.53,63,65,17.34,broken clouds
204,Vagay,RU,57.9375,69.0217,45.95,58,100,5.01,overcast clouds
205,Bousso,TD,10.4795,16.7117,75.76,78,77,1.63,broken clouds
206,San Patricio,US,28.017,-97.5169,89.19,33,48,8.77,scattered clouds
207,Ewo,CG,-0.8725,14.8206,77.45,78,99,4.0,overcast clouds
208,Osakarovka,KZ,50.565,72.5692,44.76,53,11,0.74,few clouds
